"qseqid" "sseqid" "%_ident" "query_len" "alignment_length" "evalue" "bitscore" "query_cover"
"6" "KFX72536.1" "LN852993.1" 100 234 234 1.56e-119 433 100
"9" "ACF32650.1" "HG796769.1" 100 390 390 0 721 100
"10" "ACF32650.1" "EU818711.2" 100 390 390 0 721 100
"17" "EFV27940.1" "NZ_ATFI01000025.1" 100 273 273 3.87e-141 505 100
"18" "EFV27940.1" "ATFI01000025.1" 100 273 273 3.87e-141 505 100
"31" "EYE59144.1" "NZ_ATFI01000025.1" 100 204 204 6.32e-103 377 100
"32" "EYE59144.1" "ATFI01000025.1" 100 204 204 6.32e-103 377 100
"38" "AIT71670.1" "KJ830769.1" 100 276 276 8.42e-143 510 100
"39" "AIW55156.1" "KM406416.1" 100 312 312 9.37e-163 577 100
"40" "KOA54338.1" "KM406416.1" 100 366 366 0 676 100
"41" "ADL36459.1" "NC_014390.1" 100 297 297 1.94e-154 549 100
"42" "ADL36459.1" "CP001813.1" 100 297 297 1.94e-154 549 100
"43" "ADL36251.1" "NC_014389.1" 100 171 171 1.14e-84 316 100
"44" "ADL36251.1" "CP001812.1" 100 171 171 1.14e-84 316 100
"45" "ADL36104.1" "NC_014389.1" 100 165 165 2.37e-81 305 100
"46" "ADL36104.1" "CP001812.1" 100 165 165 2.37e-81 305 100
"47" "AIW54807.1" "KJ776581.1" 100 741 741 0 1369 100
"49" "ABG87876.1" "CP000313.1" 100 261 261 1.72e-134 483 100
"50" "KLU74310.1" "NZ_CM003322.1" 100 432 432 0 798 100
"51" "KLU74310.1" "CM003322.1" 100 432 432 0 798 100
"52" "KLU74310.1" "AESC02000113.1" 100 432 432 0 798 100
"81" "KEI11472.1" "NZ_CM003350.1" 100 291 291 4.1e-151 538 100
"82" "KEI11472.1" "JENW01000167.1" 100 291 291 4.1e-151 538 100
"83" "KEI11472.1" "CM003370.1" 100 291 291 4.1e-151 538 100
"84" "KEI11472.1" "CM003350.1" 100 291 291 4.1e-151 538 100
"85" "KEI11472.1" "AESA02000478.1" 100 291 291 4.1e-151 538 100
"98" "ACT33596.1" "NC_012219.1" 100 165 165 2.37e-81 305 100
"99" "ACT33596.1" "CP001659.1" 100 165 165 2.37e-81 305 100
"100" "ACT33596.1" "AP010934.1" 100 165 165 2.37e-81 305 100
"101" "ACT33596.1" "AB465552.1" 100 165 165 2.37e-81 305 100
"108" "ADZ22957.1" "NC_017296.1" 100 288 288 1.88e-149 532 100
"109" "ADZ22957.1" "NC_015686.1" 100 288 288 1.88e-149 532 100
"110" "ADZ22957.1" "NC_001988.2" 100 288 288 1.88e-149 532 100
"111" "ADZ22957.1" "CP002661.1" 100 288 288 1.88e-149 532 100
"112" "ADZ22957.1" "CP002119.1" 100 288 288 1.88e-149 532 100
"113" "KEH84552.1" "NZ_CM003331.1" 100 159 159 4.91e-78 294 100
"114" "KEH84552.1" "NZ_CM003328.1" 100 159 159 4.91e-78 294 100
"115" "KEH84552.1" "NZ_CM003327.1" 100 159 159 4.91e-78 294 100
"116" "KEH84552.1" "NZ_CM003326.1" 100 159 159 4.91e-78 294 100
"117" "KEH84552.1" "JENN01000104.1" 100 159 159 4.91e-78 294 100
"118" "KEH84552.1" "JENM01000095.1" 100 159 159 4.91e-78 294 100
"119" "KEH84552.1" "JENL01000081.1" 100 159 159 4.91e-78 294 100
"120" "KEH84552.1" "JENK01000069.1" 100 159 159 4.91e-78 294 100
"121" "KEH84552.1" "CM003331.1" 100 159 159 4.91e-78 294 100
"122" "KEH84552.1" "CM003328.1" 100 159 159 4.91e-78 294 100
"123" "KEH84552.1" "CM003327.1" 100 159 159 4.91e-78 294 100
"124" "KEH84552.1" "CM003326.1" 100 159 159 4.91e-78 294 100
"128" "KEH91559.1" "NZ_CM003333.1" 100 153 153 1.02e-74 283 100
"129" "KEH91559.1" "JENP01000089.1" 100 153 153 1.02e-74 283 100
"130" "KEH91559.1" "CM003333.1" 100 153 153 1.02e-74 283 100
"143" "KEI06239.1" "NZ_CM003344.1" 100 165 165 2.37e-81 305 100
"144" "KEI06239.1" "JENU01000087.1" 100 165 165 2.37e-81 305 100
"145" "KEI06239.1" "CM003344.1" 100 165 165 2.37e-81 305 100
"153" "KEI11462.1" "NZ_CM003350.1" 100 165 165 2.37e-81 305 100
"154" "KEI11462.1" "JENW01000167.1" 100 165 165 2.37e-81 305 100
"155" "KEI11462.1" "CM003350.1" 100 165 165 2.37e-81 305 100
"158" "CEK36625.1" "LN681233.1" 100 261 261 1.72e-134 483 100
