"qseqid" "sseqid" "%_ident" "query_len" "alignment_length" "mismatch" "gapopen" "qstart" "qend" "sstart" "send" "evalue" "bitscore" "query_cover" "alightment"
"1" "EEH64174.1" "LT599825.1" 98.788 165 165 2 0 1 165 4414429 4414265 5.14e-78 294 100 165
"6" "KFX72536.1" "LN852993.1" 100 234 234 0 0 1 234 540 773 1.56e-119 433 100 234
"9" "ACF32650.1" "HG796769.1" 100 390 390 0 0 1 390 4879 4490 0 721 100 390
"10" "ACF32650.1" "EU818711.2" 100 390 390 0 0 1 390 2655 2266 0 721 100 390
"11" "ACF32650.1" "LN853373.1" 98.205 390 390 7 0 1 390 3741 3352 0 682 100 390
"12" "ACF32650.1" "HG796775.1" 98.205 390 390 7 0 1 390 6350 5961 0 682 100 390
"17" "EFV27940.1" "NZ_ATFI01000025.1" 100 273 273 0 0 1 273 3080 2808 3.87e-141 505 100 273
"18" "EFV27940.1" "ATFI01000025.1" 100 273 273 0 0 1 273 3080 2808 3.87e-141 505 100 273
"19" "EFV27940.1" "NC_019534.1" 99.634 273 273 1 0 1 273 11966 11694 1.8e-139 499 100 273
"20" "EFV27940.1" "AB646744.1" 99.634 273 273 1 0 1 273 11966 11694 1.8e-139 499 100 273
"22" "EEO48229.2" "DQ093580.1" 99.099 222 222 2 0 1 222 1695 1916 1.49e-109 399 100 222
"31" "EYE59144.1" "NZ_ATFI01000025.1" 100 204 204 0 0 1 204 3011 2808 6.32e-103 377 100 204
"32" "EYE59144.1" "ATFI01000025.1" 100 204 204 0 0 1 204 3011 2808 6.32e-103 377 100 204
"33" "EYE59144.1" "NC_019534.1" 99.51 204 204 1 0 1 204 11897 11694 2.94e-101 372 100 204
"34" "EYE59144.1" "AB646744.1" 99.51 204 204 1 0 1 204 11897 11694 2.94e-101 372 100 204
"36" "KDS37886.1" "LN852750.1" 99.432 176 176 1 0 1 176 217 392 9.09e-86 320 100 176
"37" "KDS38695.1" "LN852750.1" 99.145 234 234 2 0 1 234 159 392 3.37e-116 422 100 234
"38" "AIT71670.1" "KJ830769.1" 100 276 276 0 0 1 276 6530 6255 8.42e-143 510 100 276
"39" "AIW55156.1" "KM406416.1" 100 312 312 0 0 1 312 79150 78839 9.37e-163 577 100 312
"40" "KOA54338.1" "KM406416.1" 100 366 366 0 0 1 366 5652 5287 0 676 100 366
"41" "ADL36459.1" "NC_014390.1" 100 297 297 0 0 1 297 85613 85909 1.94e-154 549 100 297
"42" "ADL36459.1" "CP001813.1" 100 297 297 0 0 1 297 85613 85909 1.94e-154 549 100 297
"43" "ADL36251.1" "NC_014389.1" 100 171 171 0 0 1 171 253997 253827 1.14e-84 316 100 171
"44" "ADL36251.1" "CP001812.1" 100 171 171 0 0 1 171 253997 253827 1.14e-84 316 100 171
"45" "ADL36104.1" "NC_014389.1" 100 165 165 0 0 1 165 105077 105241 2.37e-81 305 100 165
"46" "ADL36104.1" "CP001812.1" 100 165 165 0 0 1 165 105077 105241 2.37e-81 305 100 165
"47" "AIW54807.1" "KJ776581.1" 100 741 741 0 0 1 741 34167 34907 0 1369 100 741
"48" "AIW54807.1" "KT901798.1" 99.865 741 741 1 0 1 741 31845 32585 0 1363 100 741
"49" "ABG87876.1" "CP000313.1" 100 261 261 0 0 1 261 11173 11433 1.72e-134 483 100 261
"50" "KLU74310.1" "NZ_CM003322.1" 100 432 432 0 0 1 432 57178 57609 0 798 100 432
"51" "KLU74310.1" "CM003322.1" 100 432 432 0 0 1 432 57178 57609 0 798 100 432
"52" "KLU74310.1" "AESC02000113.1" 100 432 432 0 0 1 432 57178 57609 0 798 100 432
"81" "KEI11472.1" "NZ_CM003350.1" 100 291 291 0 0 1 291 32829 33119 4.1e-151 538 100 291
"82" "KEI11472.1" "JENW01000167.1" 100 291 291 0 0 1 291 32829 33119 4.1e-151 538 100 291
"83" "KEI11472.1" "CM003370.1" 100 291 291 0 0 1 291 47528 47818 4.1e-151 538 100 291
"84" "KEI11472.1" "CM003350.1" 100 291 291 0 0 1 291 32829 33119 4.1e-151 538 100 291
"85" "KEI11472.1" "AESA02000478.1" 100 291 291 0 0 1 291 47528 47818 4.1e-151 538 100 291
"98" "ACT33596.1" "NC_012219.1" 100 165 165 0 0 1 165 52478 52642 2.37e-81 305 100 165
"99" "ACT33596.1" "CP001659.1" 100 165 165 0 0 1 165 4698 4862 2.37e-81 305 100 165
"100" "ACT33596.1" "AP010934.1" 100 165 165 0 0 1 165 52478 52642 2.37e-81 305 100 165
"101" "ACT33596.1" "AB465552.1" 100 165 165 0 0 1 165 13747 13911 2.37e-81 305 100 165
"102" "ACT33596.1" "NZ_CM003344.1" 98.788 165 165 2 0 1 165 4995 5159 5.14e-78 294 100 165
"103" "ACT33596.1" "JENU01000087.1" 98.788 165 165 2 0 1 165 4995 5159 5.14e-78 294 100 165
"104" "ACT33596.1" "CM003344.1" 98.788 165 165 2 0 1 165 4995 5159 5.14e-78 294 100 165
"105" "ACT33596.1" "AESA02000475.1" 98.788 165 165 2 0 1 165 30386 30550 5.14e-78 294 100 165
"106" "ACT33596.1" "AB465554.1" 98.788 165 165 2 0 1 165 12190 12354 5.14e-78 294 100 165
"107" "ACT33596.1" "AB465553.1" 98.788 165 165 2 0 1 165 12190 12354 5.14e-78 294 100 165
"108" "ADZ22957.1" "NC_017296.1" 100 288 288 0 0 1 288 190436 190149 1.88e-149 532 100 288
"109" "ADZ22957.1" "NC_015686.1" 100 288 288 0 0 1 288 190436 190149 1.88e-149 532 100 288
"110" "ADZ22957.1" "NC_001988.2" 100 288 288 0 0 1 288 190436 190149 1.88e-149 532 100 288
"111" "ADZ22957.1" "CP002661.1" 100 288 288 0 0 1 288 190436 190149 1.88e-149 532 100 288
"112" "ADZ22957.1" "CP002119.1" 100 288 288 0 0 1 288 190436 190149 1.88e-149 532 100 288
"113" "KEH84552.1" "NZ_CM003331.1" 100 159 159 0 0 1 159 4254 4096 4.91e-78 294 100 159
"114" "KEH84552.1" "NZ_CM003328.1" 100 159 159 0 0 1 159 4230 4072 4.91e-78 294 100 159
"115" "KEH84552.1" "NZ_CM003327.1" 100 159 159 0 0 1 159 4234 4076 4.91e-78 294 100 159
"116" "KEH84552.1" "NZ_CM003326.1" 100 159 159 0 0 1 159 4233 4075 4.91e-78 294 100 159
"117" "KEH84552.1" "JENN01000104.1" 100 159 159 0 0 1 159 4254 4096 4.91e-78 294 100 159
"118" "KEH84552.1" "JENM01000095.1" 100 159 159 0 0 1 159 4230 4072 4.91e-78 294 100 159
"119" "KEH84552.1" "JENL01000081.1" 100 159 159 0 0 1 159 4233 4075 4.91e-78 294 100 159
"120" "KEH84552.1" "JENK01000069.1" 100 159 159 0 0 1 159 4234 4076 4.91e-78 294 100 159
"121" "KEH84552.1" "CM003331.1" 100 159 159 0 0 1 159 4254 4096 4.91e-78 294 100 159
"122" "KEH84552.1" "CM003328.1" 100 159 159 0 0 1 159 4230 4072 4.91e-78 294 100 159
"123" "KEH84552.1" "CM003327.1" 100 159 159 0 0 1 159 4234 4076 4.91e-78 294 100 159
"124" "KEH84552.1" "CM003326.1" 100 159 159 0 0 1 159 4233 4075 4.91e-78 294 100 159
"128" "KEH91559.1" "NZ_CM003333.1" 100 153 153 0 0 1 153 2006 1854 1.02e-74 283 100 153
"129" "KEH91559.1" "JENP01000089.1" 100 153 153 0 0 1 153 2006 1854 1.02e-74 283 100 153
"130" "KEH91559.1" "CM003333.1" 100 153 153 0 0 1 153 2006 1854 1.02e-74 283 100 153
"143" "KEI06239.1" "NZ_CM003344.1" 100 165 165 0 0 1 165 4995 5159 2.37e-81 305 100 165
"144" "KEI06239.1" "JENU01000087.1" 100 165 165 0 0 1 165 4995 5159 2.37e-81 305 100 165
"145" "KEI06239.1" "CM003344.1" 100 165 165 0 0 1 165 4995 5159 2.37e-81 305 100 165
"146" "KEI06239.1" "NC_012219.1" 98.788 165 165 2 0 1 165 52478 52642 5.14e-78 294 100 165
"147" "KEI06239.1" "CP001659.1" 98.788 165 165 2 0 1 165 4698 4862 5.14e-78 294 100 165
"148" "KEI06239.1" "AP010934.1" 98.788 165 165 2 0 1 165 52478 52642 5.14e-78 294 100 165
"149" "KEI06239.1" "AB465552.1" 98.788 165 165 2 0 1 165 13747 13911 5.14e-78 294 100 165
"153" "KEI11462.1" "NZ_CM003350.1" 100 165 165 0 0 1 165 27472 27308 2.37e-81 305 100 165
"154" "KEI11462.1" "JENW01000167.1" 100 165 165 0 0 1 165 27472 27308 2.37e-81 305 100 165
"155" "KEI11462.1" "CM003350.1" 100 165 165 0 0 1 165 27472 27308 2.37e-81 305 100 165
"156" "KEI11462.1" "CM003370.1" 99.39 165 164 0 1 1 164 41133 40971 1.43e-78 296 99.3939393939394 164
"157" "KEI11462.1" "AESA02000478.1" 99.39 165 164 0 1 1 164 41133 40971 1.43e-78 296 99.3939393939394 164
"158" "CEK36625.1" "LN681233.1" 100 261 261 0 0 1 261 50104 50364 1.72e-134 483 100 261
"162" "AEB77224.1" "NZ_LHYV01000043.1" 100 159 159 0 0 1 159 17193 17035 4.91e-78 294 100 159
"163" "AEB77224.1" "NZ_LHYS01000005.1" 100 159 159 0 0 1 159 17194 17036 4.91e-78 294 100 159
"164" "AEB77224.1" "NZ_LHYR01000015.1" 100 159 159 0 0 1 159 115 273 4.91e-78 294 100 159
"165" "AEB77224.1" "NZ_LHYQ01000134.1" 100 159 159 0 0 1 159 1255 1097 4.91e-78 294 100 159
"166" "AEB77224.1" "NZ_LHYP01000004.1" 100 159 159 0 0 1 159 114 272 4.91e-78 294 100 159
"167" "AEB77224.1" "NZ_LGVU01000095.1" 100 159 159 0 0 1 159 115 273 4.91e-78 294 100 159
"168" "AEB77224.1" "NZ_LGVT01000016.1" 100 159 159 0 0 1 159 17060 16902 4.91e-78 294 100 159
"169" "AEB77224.1" "NZ_CM003340.1" 100 159 159 0 0 1 159 29793 29635 4.91e-78 294 100 159
"170" "AEB77224.1" "NZ_CM003339.1" 100 159 159 0 0 1 159 29793 29635 4.91e-78 294 100 159
"171" "AEB77224.1" "NZ_CM003321.1" 100 159 159 0 0 1 159 22882 22724 4.91e-78 294 100 159
"172" "AEB77224.1" "NC_015417.1" 100 159 159 0 0 1 159 22749 22591 4.91e-78 294 100 159
"173" "AEB77224.1" "LHYV01000043.1" 100 159 159 0 0 1 159 17193 17035 4.91e-78 294 100 159
"174" "AEB77224.1" "LHYS01000005.1" 100 159 159 0 0 1 159 17194 17036 4.91e-78 294 100 159
"175" "AEB77224.1" "LHYR01000015.1" 100 159 159 0 0 1 159 115 273 4.91e-78 294 100 159
"176" "AEB77224.1" "LHYQ01000134.1" 100 159 159 0 0 1 159 1255 1097 4.91e-78 294 100 159
"177" "AEB77224.1" "LHYP01000004.1" 100 159 159 0 0 1 159 114 272 4.91e-78 294 100 159
"178" "AEB77224.1" "LGVU01000095.1" 100 159 159 0 0 1 159 115 273 4.91e-78 294 100 159
"179" "AEB77224.1" "LGVT01000016.1" 100 159 159 0 0 1 159 17060 16902 4.91e-78 294 100 159
"180" "AEB77224.1" "JENT01000159.1" 100 159 159 0 0 1 159 29793 29635 4.91e-78 294 100 159
"181" "AEB77224.1" "JENS01000121.1" 100 159 159 0 0 1 159 29793 29635 4.91e-78 294 100 159
"182" "AEB77224.1" "CP002411.1" 100 159 159 0 0 1 159 22749 22591 4.91e-78 294 100 159
"183" "AEB77224.1" "CM003340.1" 100 159 159 0 0 1 159 29793 29635 4.91e-78 294 100 159
"184" "AEB77224.1" "CM003339.1" 100 159 159 0 0 1 159 29793 29635 4.91e-78 294 100 159
"185" "AEB77224.1" "CM003321.1" 100 159 159 0 0 1 159 22882 22724 4.91e-78 294 100 159
"186" "AEB77224.1" "AESC02000112.1" 100 159 159 0 0 1 159 22882 22724 4.91e-78 294 100 159
"190" "AEB77471.1" "NZ_CM003336.1" 100 141 141 0 0 1 141 43753 43893 4.3e-68 261 100 141
"191" "AEB77471.1" "NZ_AESC02000110.1" 100 141 141 0 0 1 141 61480 61620 4.3e-68 261 100 141
"192" "AEB77471.1" "NC_015426.1" 100 141 141 0 0 1 141 45912 46052 4.3e-68 261 100 141
